account,calculated_weight,reward_current_week,reward_minus1w,reward_minus2w,reward_minus3w,reward_minus4w,total_distribution
0x54A2A9ecE370A53D496Ca7824AACb2163f1Cd26a,57.55745,40464.5732,96849.04171,0,0,0,27462.722982
0xeEa9Cb7ffFf56472f4313eD032A8D4575C80397d,27.7771521,19528.15152,33507.87984,35246.07463,16498.68794,13998.42798,23755.844381
0xa33C5f802c7433647B5Cc6BE5886Da28A9226926,26.126785,18367.89511,12317.69065,1847.12428,84010.60303,134217.4796,50152.158524
0x2d520C06edB20C0a9E5fcFdd983FeEef93881186,175.2696227,123219.6784,188601.2127,47612.08029,33516.66239,42944.00457,87178.727668
0x41E8AdcC6084c9703CA446445fe58B893075788c,9.731625,6841.617413,0,8627.887576,8018.055788,0,4697.512155
0x0fF991f1d2134FFB5a48E355a5Fa7a1d30E4ed4c,139.611305,98150.83662,72160.69495,0,0,0,34062.306314
0x452c269a8a0CfD08D74AB2b6315be63c9807c259,1.729978,1216.225205,503.0477549,0,0,0,343.854592
0x37881CA83753A16a203D209Ad1D21651612eDb78,2.24928,1581.309721,0,0,75671.41173,104726.48,36395.840293
0x2240234ECEE74B1dC38330a0DFe71Fe3BbEba2D6,0.48,337.4540592,0,3354.822492,1258.536309,428.6877263,1075.900117
0x91e95FFa1B4F790d68CFeef099461ade4353eFB0,0.9135,642.2172563,0,0,0,0,128.443451
0xc2962211E0349Ad7e5b0cB6C4D358c1FbFAedaE8,15.636542,10992.94702,64694.88632,162455.1412,88445.53822,96250.97399,84567.897352
0x00e5966E89c76851eFbee84680935D14F8B7beCE,24.580335,17280.69546,23708.28036,158168.3923,78460.50406,668.1961861,55657.213675
0x76c3d77EcaC64d54933C084De47a2984baba9bCa,0.435234,305.98225,144.3482564,0,0,0,90.066101
0x4775c6A8D0d8dB30FcFB9ac56Bf41D3510D392eE,2.933,2061.984907,2206.83618,0,0,0,853.764217
0x3F779e15BD22ecF742cCfC02e0005d37A244Ddce,546.4235,384151.7252,0,0,0,0,76830.345039
0x778e3Db5670c3f04cA797a642978779BDbc7E598,4.7392,3331.796411,0,0,0,0,666.359282
0x1Baa91309867D5272f9492a4644A2b677E13DF88,0,0,0,0,0,0,0.000000
0xc7aDAb846d496BF841EB717e48bD9F724Ec1bc25,0,0,7183.022867,3853.29776,0,0,2207.264125
0x7269CaD927f2D98aBfD06b0Eb1dA318525c6C304,0,0,3291.398834,0,0,0,658.279767
0xb58639Ac67Ef8562c824E70E405d72185129d008,0,0,937.7780745,10653.22769,1524.813874,0,2623.163929
0xAa890D6Cfd710E5C04F87eF0Cd7dA3979D2Ca3D7,0,0,7236.354352,0,1133.044673,0,1673.879805
0x6199e5Fa5F627FFE703291418Df9683c3608aB8b,0,0,2321.641548,0,0,0,464.328310
0x902aD7006Ed0D3448B070cD945Bc2393424241C0,0,0,805.8761272,550.2339311,0,446.2642125,360.474854
0xfE8dC6d47B819e8D926124d93410A2DCE28960EB,0,0,289.4856613,0,92.25746868,244.5715345,125.262933
0x8D7D500F137DA99b452335b1Fd2ffEa919c205a0,0,0,65.07523525,0,0,0,13.015047
0x289D2e750AC6765AB42a9e7FD8dCDD5A3402f74a,0,0,0,20300.70185,0,0,4060.140371
0x2d3C547120fC08c4F260246D6A43EEa9AEbc4740,0,0,0,1301.747424,0,0,260.349485
0xc4b258A1f6774bbd42667ea2969cB4175CA1fCd6,0,0,0,1427.143407,236.9152369,5805.340996,1493.879928
0xe5298d01632A57F9A63A16869A89A69547EB1368,0,0,0,805.7451733,0,0,161.149035
0x389f038e41cF38925872145792ee385c24C24407,0,0,0,7.445441932,0,0,1.489088
0x8d6B277da3B132eb6e75393B711abf6AC4FA5db3,0,0,0,131.0228287,0,0,26.204566
0xc966546A8CBcc2E172FbC378FbA84791056d34fD,0,0,0,261.9465384,0,0,52.389308
0xBB0584655c0FA6cD9bfBC4f61d8151B757F067a7,0,0,0,14.41957338,0,0,2.883915
0x9bC5bf57Bc6992483af3E30e40A5517200aBC9A3,0,0,0,0,1058.541556,0,211.708311
0x3B3a968003c690275DC2955AaB4005316d640128,0,0,0,0,0,15763.1589,3152.631779
0x53b5F97c1357fD8A5C90ca15c40043BB2899E2DC,0,0,0,0,0,6263.623434,1252.724687
0x9776a4A25E08230aA132865D5FCE43Bc48f0Eb18,0,0,0,0,0,2915.496903,583.099381
0x94578A2A9b2491c958dcffE25b13Ec7310174474,0,0,0,0,0,55.92674069,11.185348
0x906ded7c2B37F4bc05Ef033549CeC8a228eD049d,0,0,0,0,0,2039.547596,407.909519
0x596248D42aB9915348658898391e4cA928a08723,0,0,0,0,0,79.70648551,15.941297
0x90F78FE89F83B4075972Fa40e0371f80b1f1c55a,0,0,0,0,0,99.51248569,19.902497
0x134264e3DE66a919b22F1cFf1Da384Ca01Ed47E2,0,0,0,0,0,2.082404307,0.416481
0x625f560Aae0348f300BA45BEDf574aD5c1d0c3d3,0,0,0,0,0,455.5862527,91.117251
0x1FA6D728aDA68e3bE9E4bB14CaF6A0334BD276e7,0,0,0,0,0,2.758486103,0.551697
0x555a50B25bc662A4e6AEB890e4EB835f609603c8,0,0,0,0,0,2214.102628,442.820526